feroxbuster -u http://surveillance.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://surveillance.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
503      GET        7l       14w      206c http://surveillance.htb/css/.htpasswd
503      GET        7l       14w      206c http://surveillance.htb/css/.config
503      GET        7l       14w      206c http://surveillance.htb/css/.subversion
503      GET        7l       14w      206c http://surveillance.htb/css/_admin
503      GET        7l       14w      206c http://surveillance.htb/css/.perf
503      GET        7l       14w      206c http://surveillance.htb/css/.listings
503      GET        7l       14w      206c http://surveillance.htb/css/~user
503      GET        7l       14w      206c http://surveillance.htb/css/.web
503      GET        7l       14w      206c http://surveillance.htb/css/~sys
503      GET        7l       14w      206c http://surveillance.htb/admin/text/javascript
503      GET        7l       14w      206c http://surveillance.htb/bank
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_inf
503      GET        7l       14w      206c http://surveillance.htb/css/_adm
503      GET        7l       14w      206c http://surveillance.htb/css/_private
503      GET        7l       14w      206c http://surveillance.htb/css/.htaccess
503      GET        7l       14w      206c http://surveillance.htb/css/_ajax
503      GET        7l       14w      206c http://surveillance.htb/css/.swf
503      GET        7l       14w      206c http://surveillance.htb/css/.cvsignore
503      GET        7l       14w      206c http://surveillance.htb/css/_assets
503      GET        7l       14w      206c http://surveillance.htb/css/.cvs
503      GET        7l       14w      206c http://surveillance.htb/css/0
503      GET        7l       14w      206c http://surveillance.htb/css/~tmp
503      GET        7l       14w      206c http://surveillance.htb/css/.cache
503      GET        7l       14w      206c http://surveillance.htb/css/_backup
503      GET        7l       14w      206c http://surveillance.htb/css/_archive
503      GET        7l       14w      206c http://surveillance.htb/css/~root
503      GET        7l       14w      206c http://surveillance.htb/css/_catalogs
503      GET        7l       14w      206c http://surveillance.htb/banks
503      GET        7l       14w      206c http://surveillance.htb/css/04
503      GET        7l       14w      206c http://surveillance.htb/css/03
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_log
503      GET        7l       14w      206c http://surveillance.htb/css/01
503      GET        7l       14w      206c http://surveillance.htb/css/_code
503      GET        7l       14w      206c http://surveillance.htb/css/~nobody
503      GET        7l       14w      206c http://surveillance.htb/css/_cache
503      GET        7l       14w      206c http://surveillance.htb/css/02
503      GET        7l       14w      206c http://surveillance.htb/css/~log
503      GET        7l       14w      206c http://surveillance.htb/css/20
503      GET        7l       14w      206c http://surveillance.htb/css/_common
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_map
503      GET        7l       14w      206c http://surveillance.htb/banner
503      GET        7l       14w      206c http://surveillance.htb/css/_install
503      GET        7l       14w      206c http://surveillance.htb/css/~lp
503      GET        7l       14w      206c http://surveillance.htb/css/200
503      GET        7l       14w      206c http://surveillance.htb/css/2009
503      GET        7l       14w      206c http://surveillance.htb/banned
503      GET        7l       14w      206c http://surveillance.htb/css/123
503      GET        7l       14w      206c http://surveillance.htb/css/~mail
503      GET        7l       14w      206c http://surveillance.htb/css/_js
