feroxbuster -u http://192.168.56.122:8080 -w /usr/share/wordlists/dirb/common.txt -t 200 -r --scan-dir-listings
                                                                                                                                                                          
 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://192.168.56.122:8080
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 📂  Scan Dir Listings     │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
200      GET        2l       10w      430c http://192.168.56.122:8080/examples/jsp/images/code.gif
200      GET       31l      148w     1285c http://192.168.56.122:8080/examples/jsp/dates/date.html
404      GET        1l       61w      682c http://192.168.56.122:8080/meta-inf
200      GET       30l      150w     1328c http://192.168.56.122:8080/examples/jsp/jsp2/el/basic-arithmetic.html
200      GET       31l      151w     1337c http://192.168.56.122:8080/examples/jsp/jsp2/el/implicit-objects.html
200      GET       31l      149w     1289c http://192.168.56.122:8080/examples/jsp/xml/xml.html
200      GET       33l      157w     1399c http://192.168.56.122:8080/examples/jsp/jsp2/tagfiles/hello.html
200      GET        5l       17w     1704c http://192.168.56.122:8080/examples/jsp/images/execute.gif
200      GET       30l      150w     1331c http://192.168.56.122:8080/examples/jsp/jsp2/el/basic-comparisons.html
200      GET       33l      157w     1418c http://192.168.56.122:8080/examples/jsp/jsp2/tagfiles/products.html
200      GET       47l      197w     1510c http://192.168.56.122:8080/examples/jsp/cal/login.html
200      GET        2l       17w     1975c http://192.168.56.122:8080/examples/jsp/images/return.gif
200      GET       31l      148w     1300c http://192.168.56.122:8080/examples/jsp/snp/snoop.html
200      GET       37l      175w     1283c http://192.168.56.122:8080/examples/jsp/error/error.html
404      GET        1l       66w      771c http://192.168.56.122:8080/examples/jsp/jsp2/simpletag/repeat.jsp
404      GET        1l       66w      774c http://192.168.56.122:8080/examples/jsp/jsp2/el/basic-arithmetic.jsp
500      GET       24l      121w     2741c http://192.168.56.122:8080/examples/jsp/jsp2/jspattribute/jspattribute.jsp
500      GET       23l      110w     2651c http://192.168.56.122:8080/examples/jsp/jsp2/el/implicit-objects.jsp
500      GET       33l      130w     3446c http://192.168.56.122:8080/examples/jsp/jsp2/jspattribute/shuffle.jsp
500      GET       32l      127w     3302c http://192.168.56.122:8080/examples/jsp/jsp2/simpletag/book.jsp
500      GET       54l      150w     5093c http://192.168.56.122:8080/examples/jsp/simpletag/foo.jsp
500      GET       54l      150w     5093c http://192.168.56.122:8080/examples/jsp/jsp2/el/composite.jsp
500      GET       23l      110w     2651c http://192.168.56.122:8080/examples/jsp/jsp2/el/functions.jsp
500      GET       53l      159w     4983c http://192.168.56.122:8080/examples/jsp/tagplugin/foreach.jsp
500      GET       99l      227w    10137c http://192.168.56.122:8080/examples/jsp/jsp2/jspx/basic.jspx
404      GET        1l       66w      762c http://192.168.56.122:8080/examples/jsp/tagplugin/choose.jsp
404      GET        1l       66w      758c http://192.168.56.122:8080/examples/jsp/tagplugin/if.jsp
500      GET       31l      110w     3351c http://192.168.56.122:8080/examples/async/async2
200      GET       68l      284w     3606c http://192.168.56.122:8080/examples/servlets/reqinfo.html
200      GET       20l       64w      658c http://192.168.56.122:8080/examples/servlets/servlet/CookieExample
200      GET      369l     1020w    14245c http://192.168.56.122:8080/examples/jsp/
500      GET       31l      110w     3351c http://192.168.56.122:8080/examples/async/async3
500      GET       31l      110w     3366c http://192.168.56.122:8080/examples/servlets/servlet/HelloWorldExample
500      GET       31l      110w     3378c http://192.168.56.122:8080/examples/servlets/serverpush/simpleimage
500      GET       31l      110w     3369c http://192.168.56.122:8080/examples/servlets/servlet/RequestInfoExample
200      GET        0l        0w     9371c http://192.168.56.122:8080/examples/websocket/snake.xhtml
200      GET       32l      149w     1268c http://192.168.56.122:8080/examples/websocket/
500      GET       31l      110w     3351c http://192.168.56.122:8080/examples/async/async1
200      GET        0l        0w     1425c http://192.168.56.122:8080/examples/servlets/nonblocking/bytecounter.html
200      GET        0l        0w     2680c http://192.168.56.122:8080/examples/servlets/cookies.html
200      GET        0l        0w     3197c http://192.168.56.122:8080/examples/servlets/sessions.html
200      GET        0l        0w     4696c http://192.168.56.122:8080/examples/servlets/reqparams.html
200      GET        0l        0w     2562c http://192.168.56.122:8080/examples/servlets/helloworld.html
200      GET        0l        0w     1231c http://192.168.56.122:8080/examples/servlets/images/return.gif
200      GET      193l      681w     6596c http://192.168.56.122:8080/examples/servlets/
200      GET       30l      141w     1126c http://192.168.56.122:8080/examples/index.html
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/META-INF
404      GET        1l       61w      682c http://192.168.56.122:8080/docs/META-INF
404      GET        1l       61w      682c http://192.168.56.122:8080/docs/meta-inf
500      GET       19l       89w     2181c http://192.168.56.122:8080/shell/
404      GET        1l       61w      682c http://192.168.56.122:8080/WEB-INF
404      GET        1l       61w      682c http://192.168.56.122:8080/web-inf
200      GET       55l      284w     2212c http://192.168.56.122:8080/docs/appdev/sample/index.html
200      GET      369l     1020w    14245c http://192.168.56.122:8080/examples/jsp/index.html
200      GET      193l      681w     6596c http://192.168.56.122:8080/examples/servlets/index.html
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/meta-inf
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/servlets/trailers/response
200      GET        5l       17w     1704c http://192.168.56.122:8080/examples/servlets/images/execute.gif
200      GET       25l       66w      673c http://192.168.56.122:8080/examples/servlets/servlet/RequestParamExample
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/async/stockticker
200      GET       42l      118w     1247c http://192.168.56.122:8080/examples/servlets/servlet/SessionExample
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/servlets/servlet/RequestHeaderExample
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/web-inf
404      GET        1l       61w      682c http://192.168.56.122:8080/examples/WEB-INF
404      GET        1l       61w      682c http://192.168.56.122:8080/docs/web-inf
404      GET        1l       61w      682c http://192.168.56.122:8080/docs/WEB-INF
200      GET        1l        6w       49c http://192.168.56.122:8080/examples/async/async0
200      GET       16l       70w     3557c http://192.168.56.122:8080/docs/appdev/sample/web/images/tomcat.gif
200      GET    10000l    10000w   210000c http://192.168.56.122:8080/examples/servlets/nonblocking/numberwriter
200      GET        0l        0w      292c http://192.168.56.122:8080/examples/servlets/images/code.gif
200      GET        0l        0w     2255c http://192.168.56.122:8080/examples/servlets/reqheaders.html
200      GET       22l       46w      346c http://192.168.56.122:8080/docs/appdev/sample/web/hello.jsp
200      GET       39l      195w     1433c http://192.168.56.122:8080/docs/appdev/sample/web/
[####################] - 37s    78989/78989   0s      found:219     errors:452    
[####################] - 29s     4614/4614    162/s   http://192.168.56.122:8080/ 
[####################] - 29s     4614/4614    157/s   http://192.168.56.122:8080/docs/api/ 
[####################] - 30s     4614/4614    156/s   http://192.168.56.122:8080/docs/config/ 
[####################] - 32s     4614/4614    142/s   http://192.168.56.122:8080/docs/ 
[####################] - 35s     4614/4614    131/s   http://192.168.56.122:8080/examples/ 
