feroxbuster -u http://metapress.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://metapress.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2000
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~sysadmin
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~user
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/300
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/3g
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/100
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_vti_txt
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/25
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1x1
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2257
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/3rdparty
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/200
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2g
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~tmp
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/30
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/3
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~test
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/05
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/23
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/32
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/24
